No.,Tax Code,Company Name,Issuance Date
1,9000000045,Microsoft Regional Sales Pte Ltd,24/03/2022
2,9000000052,"iHerb, LLC",30/03/2022
3,9000000077,Netflix Pte. Ltd.,31/03/2022
4,9000000084,TIKTOK PTE. LTD.,04/04/2022
5,9000000091,Blizzard Entertainment Inc,06/04/2022
6,9000000101,Educational Testing Service,13/04/2022
7,9000000119,EZVIZ INTERNATIONAL LIMITED,18/04/2022
8,9000000126,LinkedIn Singapore Pte. Ltd.,18/04/2022
9,9000000133,"Samsung Electronics Co., Ltd.",27/04/2022
10,9000000140,KLOOK TRAVEL TECHNOLOGY LIMITED,27/04/2022
11,9000000158,IMAGE FUTURE INVESTMENT (HK) LIMITED,28/04/2022
12,9000000165,"Huawei Services (Hong Kong) Co., Limited",29/04/2022
13,9000000172,TRAVELOKA SERVICES PTE.LTD.,30/04/2022
14,9000000197,Spotify AB,05/05/2022
15,9000000207,Cricut Inc,06/05/2022
16,9000000260,PIPO (HK) Limited,20/05/2022
17,9000000278,2C2P PTE.LTD,24/05/2022
18,9000000285,FACEBOOK PAYMENTS INTERNATIONAL LIMITED,27/05/2022
19,9000000292,META PLATFORMS TECHNOLOGIES IRELAND LIMITED,27/05/2022
20,9000000302,Hostinger PTE Ltd.,27/05/2022
21,9000000327,META PLATFORMS IRELAND LIMITED,27/05/2022
22,9000000334,CGTrader UAB,30/05/2022
23,9000000341,MCAFEE IRELAND LIMITED,01/06/2022
24,9000000359,Canva Pty Ltd,23/06/2022
25,9000000366,eBay Marketplaces GmbH,28/06/2022
26,9000000373,Bloomberg L.P.,11/07/2022
27,9000000380,MORRIS SHIPPING INTERNATIONAL LIMITED,20/07/2022
28,9000000398,University of Auckland,29/07/2022
29,9000000408,TOKGISTIC PTE. LTD.,11/08/2022
30,9000000415,Google Asia Pacific Pte Ltd,15/08/2022
31,9000000447,PADDLE.COM MARKET LIMITED,05/09/2022
32,9000000454,Bloomberg Finance Singapore L.P.,13/09/2022
33,9000000461,ETSY IRELAND,13/09/2022
34,9000000479,Verifone Payments B.V.,21/09/2022
35,9000000486,Apple Distribution International Limited,29/09/2022
36,9000000493,"DialogEdu, LLC",10/10/2022
37,9000000422,Fenix International Limited,18/10/2022
38,9000000503,"Shen Yun Zuo Pin, Inc.",09/11/2022
39,9000000510,"The Chancellor, Masters, and Scholars of the University of Cambridge",14/11/2022
40,9000000528,"NBA Digital Services International, Inc.",23/11/2022
41,9000000535,Trinity College London Press Limited,23/11/2022
42,9000000542,"TRADINGVIEW, INC.",25/11/2022
43,9000000567,"ZOOM COMMUNICATIONS, INC.",10/01/2023
44,9000000574,University of London,19/01/2023
45,9000000581,Galactic Entertainment NFTs Limited,19/01/2023
46,9000000599,Alaio Inc.,06/02/2023
47,9000000616,TENCENT MUSIC ENTERTAINMENT HONG KONG LIMITED,27/02/2023
48,9000000623,"Udemy, Inc.",03/03/2023
49,9000000630,MySchool Ltd,13/03/2023
50,9000000648,POLIGON PTE. LTD.,21/04/2023
51,9000000655,BYTEDANCE PTE. LTD.,21/04/2023
52,9000000662,GARMIN (EUROPE) LIMITED,25/04/2023
53,9000000687,nordvpn S.A.,27/04/2023
54,9000000694,Ganjingworld Corporation,09/05/2023
55,9000000704,Foxit Software Incorporated,17/06/2023
56,9000000711,Epic Games Entertainment International GmbH,22/06/2023
57,9000000729,Sandbox Interactive GmbH,22/06/2023
58,9000000743,Epic Games Commerce GmbH,21/07/2023
59,9000000736,Blinks Labs GmbH,27/07/2023
60,9000000750,HONG KONG EXPRESS AIRWAYS LIMITED,01/08/2023
61,9000000768,AMAZON ASIA-PACIFIC HOLDINGS PRIVATE LIMITED,03/08/2023
62,9000000775,INDEFINITE,03/08/2023
63,9000000782,Localization Academy Inc.,05/09/2023
64,9000000817,Tinder LLC.,05/09/2023
65,9000000824,VELOTRADE MANAGEMENT LIMITED,13/09/2023
66,9000000831,Upwork Global Inc.,14/09/2023
67,9000000849,TRIP.COM TRAVEL SINGAPORE PTE. LTD.,17/09/2023
68,9000000856,VERICANT INTERNATIONAL HOLDINGS LIMITED,29/09/2023
69,9000000863,Metis.AI UG (haftungsbeschränkt),07/10/2023
70,9000000870,Olea Global Pte. Ltd.,23/10/2023
71,9000000888,"Nintendo Co., Ltd.",24/10/2023
72,9000000895,Aptoide S.A.,26/10/2023
73,9000000905,"FREEPIK COMPANY, S.L.",26/10/2023
74,9000000912,Express Technologies Limited,08/12/2023
75,9000000937,"PIA Private Internet Access, Inc",15/12/2023
76,9000000944,Surfshark B.V.,09/01/2024
77,9000000951,YX ECOMMERCE SUPPLY (HONG KONG) LIMITED,09/01/2024
78,9000000969,Codecademy LLC,09/01/2024
79,9000000976,Brainfish Pty Ltd,17/01/2024
80,9000000983,Ahrefs Pte. Ltd.,29/01/2024
81,9000000990,upvpn LLC,29/01/2024
82,9000001024,CYBERGHOST S.R.L.,16/02/2024
83,9000001031,Posit Software PBC,16/02/2024
84,9000001049,Predibase,21/02/2024
85,9000001056,Association Of Chartered Certified Accountants,25/03/2024
86,9000001063,With Reach UK Ltd,09/04/2024
87,9000001070,Clearword Ltd,13/04/2024
88,9000001088,Nanyang Technological University,22/04/2024
89,9000001095,Elsevier Limited,22/04/2024
90,9000001105,Elsevier Inc.,22/04/2024
91,9000001112,Elsevier B.V.,22/04/2024
92,9000001144,SEMRUSH INC .,23/04/2024
93,9000001151,FX Replay Inc,02/05/2024
94,9000001169,Lemon Squeezy LLC,02/05/2024
95,9000001017,Addons Studio LLC,07/05/2024
96,9000001137,PMMAX Technology Limited,25/05/2024
97,9000001183,DeepL SE,03/06/2024
98,9000001176,IQIYI INTERNATIONAL SINGAPORE PTE. LTD.,03/06/2024
99,9000001190,TRANSTONE GLOBAL LIMITED,05/06/2024
100,9000001200,Inspirational Adventures Ltd,18/06/2024
101,9000001218,"Charner, LLC",18/06/2024
102,9000001225,There’s An AI For That SRL,28/06/2024
103,9000001232,"Inkarnate, Inc.",05/07/2024
